Regime,AAPL,MSFT,JPM,XOM
High,323064970.0,86623582.19732049,9809249.706483752,15478205.2007905
Low,203984206.5,38096718.9054405,14421932.658186499,17822399.841296002
Normal,213329705.0,67910128.01278901,8628445.0,13416557.3504785
