Regime,AAPL,MSFT,JPM,XOM
High,478914553.37865233,96290301.57253124,20199878.2022386,21419935.535646196
Low,349246525.7265951,48873366.900757134,18756984.15097673,20467798.5276671
Normal,333992921.66184133,76909183.3256793,13786010.072779069,17099999.03565124
